Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
64498.62,5.26,6.16,2.27,24296.66,3646355.48,New Deniseton
64220.89,6.13,8.37,5.74,47024.82,4288815.99,New Michelleville
72244.1,4.42,7.82,2.46,41313.05,4073893.41,New Deniseton
70674.71,4.75,5.39,3.82,40142.09,3771954.77,Lake Kathleen
58109.56,5.03,6.97,2.39,32163.95,3507349.85,Lake Christinaport
92364.68,6.28,5.84,4.03,38905.21,4550693.64,Port Adamtown
58230.87,5.74,6.13,2.93,13796.97,3319653.92,Lake Kathleen
52359.5,5.74,6.87,3.25,46214.56,3807390.28,Rebeccaville
80664.87,5.79,7.0,2.0,34670.43,4171285.31,New Michelleville
74211.89,5.43,6.67,3.34,40217.46,4067119.58,New Deniseton
72776.11,5.92,7.38,3.79,51957.36,4325098.27,New Michelleville
61863.69,6.51,7.23,3.51,29353.03,3836587.62,Lake Christinaport
53681.43,6.89,7.43,6.41,42264.46,4107746.27,Rebeccaville
66245.81,4.95,6.83,4.03,51362.07,4279313.72,New Deniseton
68096.23,7.22,6.66,5.1,25731.61,4043193.89,East Lucas
68715.37,5.1,7.21,4.94,34757.28,3943122.18,East Lucas
69580.79,6.1,8.53,2.82,21211.23,4231963.33,East Lucas
81806.34,4.55,8.06,2.95,53513.22,4412969.88,Lake Christinaport
56884.89,5.44,6.28,4.48,38811.1,3468442.82,East Lucas
48249.35,3.41,8.0,2.04,34707.98,3202979.07,Lake Kathleen
64532.24,4.87,7.01,4.87,46599.08,4083133.72,Jenniferstad
50827.81,4.78,5.11,5.11,37630.11,3269760.87,New Deniseton
39414.85,6.75,7.17,4.38,34595.53,3640602.64,East Lucas
84808.94,5.86,7.29,5.12,34461.02,4169424.2,Port Adamtown
70480.04,7.22,5.79,5.06,38221.56,4197784.54,South Anthony
61903.13,5.36,7.34,4.61,37839.63,3915295.54,Lake Kathleen
64415.16,5.05,9.4,4.93,42969.14,4216677.7,New Deniseton
87163.23,6.95,8.79,4.54,22575.11,4769778.89,North Jasonville
80625.6,6.15,6.98,4.16,42094.5,4435131.57,North Jasonville
78150.82,6.97,6.81,4.6,24462.61,4177038.71,South Anthony
72109.03,5.56,7.99,4.53,49393.23,4391987.98,New Deniseton
57254.09,6.08,8.03,4.17,33936.19,3982630.9,Jenniferstad
67246.82,6.47,6.34,2.55,26415.61,3887018.74,Lake Christinaport
58505.87,6.51,7.82,7.0,44433.88,4119917.65,North Jasonville
90211.85,6.57,7.67,5.08,50668.09,4884369.39,Rebeccaville
57431.96,4.82,5.8,4.42,44097.08,3636554.58,New Michelleville
54659.82,6.68,7.01,3.85,45081.05,4089879.69,New Deniseton
51180.93,8.11,7.57,3.0,35943.45,4138636.02,Rebeccaville
77131.29,6.52,7.76,2.4,31739.82,4328226.41,Port Adamtown
50812.06,6.99,7.89,6.26,28724.08,3829966.63,Rebeccaville
75071.59,6.32,7.45,2.64,40213.44,4542765.06,New Deniseton
71635.94,4.18,6.56,3.76,38601.35,3741601.49,Port Adamtown
66389.87,5.78,7.54,4.61,44165.22,4195716.36,New Deniseton
95161.45,5.74,6.5,5.37,40939.55,4637305.78,New Michelleville
62750.85,6.11,8.14,3.8,24896.16,3843662.22,South Anthony
73876.62,5.33,7.3,4.79,33110.08,4299746.74,New Deniseton
55415.06,4.48,6.87,6.75,45058.9,3615360.75,North Jasonville
60074.15,5.71,6.35,4.74,41843.51,3694565.92,New Michelleville
76619.67,5.46,5.85,3.36,35733.53,4027402.53,New Deniseton
60355.36,6.72,8.7,6.74,36934.94,4147374.53,New Michelleville
68216.06,6.88,9.21,4.53,36308.89,4382861.52,Lake Christinaport
75919.37,6.15,7.65,4.23,41464.2,4440756.85,New Michelleville
69451.79,8.02,7.2,2.82,48684.73,4503608.43,South Anthony
64158.31,5.8,6.05,3.48,47952.61,3858089.33,East Lucas
69154.87,5.45,5.83,3.98,47323.59,3824791.51,South Anthony
46042.24,8.07,7.34,3.52,28189.36,4065593.26,Jenniferstad
65604.26,6.42,7.56,3.52,45375.94,4185042.53,South Anthony
79908.3,5.44,7.46,3.75,38256.98,4388984.33,New Deniseton
87254.22,5.88,6.76,5.05,23436.88,4238036.2,New Michelleville
75995.44,5.77,7.06,5.8,41581.67,4295345.13,New Michelleville
70220.56,5.05,6.61,3.8,37390.13,3804501.71,South Anthony
70369.52,7.72,7.05,4.39,23311.05,4146907.06,New Michelleville
60420.48,5.78,6.53,2.0,21790.22,3552491.87,Lake Kathleen
78838.22,6.88,7.6,2.0,13298.12,4408025.79,South Anthony
78204.42,5.23,6.35,3.88,30261.15,4074598.65,Rebeccaville
62850.5,6.59,7.45,3.05,36923.81,4141039.05,North Jasonville
52068.16,7.34,4.99,4.36,37092.77,3657526.11,Jenniferstad
73221.49,6.31,6.82,4.0,29184.17,4113808.9,New Michelleville
82009.79,7.27,6.24,4.66,30514.51,4554653.22,Lake Christinaport
63809.75,6.15,6.34,4.54,62897.94,4240499.72,Rebeccaville
71419.97,6.6,7.57,5.54,54560.7,4486912.94,South Anthony
72979.87,5.88,5.93,5.38,40811.49,4149199.36,North Jasonville
79120.35,6.09,7.76,3.21,1727.12,3963819.1,Jenniferstad
74058.92,5.8,7.24,4.22,33709.47,4061484.24,New Deniseton
58691.12,5.75,5.65,4.19,27326.14,3409397.77,East Lucas
77608.45,6.7,6.15,2.0,29560.6,4207947.78,New Michelleville
65402.57,6.43,7.07,3.83,54333.04,4258879.41,Jenniferstad
68893.56,6.84,7.49,3.71,39264.72,4354690.46,New Michelleville
78057.4,6.37,8.13,5.17,21605.22,4199395.02,Jenniferstad
48982.0,7.49,6.66,2.28,34057.5,3936709.97,New Michelleville
77786.34,6.4,5.77,4.29,44406.87,4519986.4,South Anthony
57109.77,5.64,7.99,5.39,43875.37,3845764.28,New Michelleville
62397.86,5.82,7.22,2.83,39436.68,3895650.19,Jenniferstad
81467.6,5.25,5.86,4.2,39259.26,4030983.94,New Deniseton
81389.99,5.13,8.06,5.77,29637.97,4221792.77,Port Adamtown
59839.32,7.47,6.78,4.07,45307.23,4371283.98,Lake Kathleen
57610.8,7.21,8.64,3.11,37117.12,4093556.34,New Deniseton
52332.61,7.07,6.67,3.44,53828.96,4183647.28,Lake Christinaport
59472.76,4.19,5.54,3.54,42827.12,3498525.82,Lake Christinaport
85664.21,5.76,6.5,4.24,34120.13,4359318.33,Lake Kathleen
70559.65,5.84,6.55,3.23,31228.21,3951006.94,East Lucas
57989.75,6.64,5.12,4.25,44341.81,3954870.67,New Deniseton
67177.28,5.36,8.37,4.48,33296.4,4231613.16,Lake Christinaport
54354.93,6.92,7.82,4.62,37033.87,4111031.58,Lake Christinaport
67631.35,5.29,6.69,2.68,27391.8,3832057.55,East Lucas
76027.62,7.55,6.86,4.24,46684.97,4696545.33,East Lucas
53565.95,8.54,5.16,2.14,19877.38,3729332.09,Rebeccaville
77864.26,5.14,7.27,4.36,31332.73,4109802.11,New Michelleville
85483.0,5.53,7.25,6.8,14633.07,3984178.71,Lake Kathleen
78490.36,6.32,6.43,3.26,61096.88,4629154.65,North Jasonville
62712.31,6.35,7.69,3.82,16150.01,4064362.5,Lake Kathleen
78622.37,6.23,5.55,3.62,41203.14,4212208.54,North Jasonville
58188.7,6.35,8.0,5.04,34880.64,4072098.13,East Lucas
57341.46,5.7,8.43,2.59,43392.62,3898846.53,Lake Kathleen
91659.89,5.55,7.18,3.27,32808.0,4470300.28,Jenniferstad
55078.02,6.07,6.78,2.2,44025.13,3791079.55,New Deniseton
60027.1,6.84,7.87,5.61,29755.13,4032293.46,Jenniferstad
65881.67,4.9,6.68,6.61,28797.31,3440871.72,North Jasonville
69549.58,5.12,6.83,3.32,17535.71,3649424.95,North Jasonville
82668.52,4.91,8.83,2.48,34828.54,4214445.3,Rebeccaville
77046.03,5.45,7.18,2.83,39329.7,4434468.31,North Jasonville
83073.45,6.53,7.5,2.52,25487.13,4333834.67,South Anthony
76809.88,6.11,6.93,2.6,31137.19,4332925.7,North Jasonville
71718.47,5.29,7.84,4.91,36489.98,4291117.45,Lake Christinaport
53753.58,6.15,6.01,3.45,47681.43,3752165.43,New Deniseton
70154.76,6.47,8.0,3.52,27771.81,4163003.89,North Jasonville
60809.08,5.43,6.85,4.46,31475.91,3787950.11,Port Adamtown
60908.79,5.85,5.78,4.1,27507.18,3451682.69,Rebeccaville
65543.02,5.79,8.77,3.02,18510.09,3908346.23,Rebeccaville
90861.88,3.7,7.73,4.82,52819.38,4431379.89,Lake Christinaport
79283.23,6.67,7.96,3.49,44662.23,4789878.38,North Jasonville
79580.13,6.14,4.14,4.68,30976.26,3940895.26,Port Adamtown
57061.52,6.95,7.7,5.01,31212.37,4091180.29,North Jasonville
68579.22,6.13,7.4,5.67,25034.1,3890116.93,Rebeccaville
66239.72,7.15,7.18,6.02,25105.0,4077539.74,Lake Kathleen
71703.32,4.98,7.25,4.05,33665.78,3696925.84,South Anthony
77474.72,6.64,6.13,5.0,28755.62,4154782.04,Lake Christinaport
67086.42,5.61,6.16,3.18,19350.59,3647523.7,Lake Christinaport
69852.73,6.23,7.93,4.64,37755.84,4384901.11,North Jasonville
75677.52,6.44,7.91,2.68,29937.04,4381877.67,South Anthony
72926.65,5.69,8.04,2.0,33553.32,4356308.34,East Lucas
77192.18,6.66,8.05,4.56,34575.55,4402126.76,East Lucas
39420.5,5.5,6.84,4.53,34649.01,3378836.76,New Deniseton
58084.23,6.32,5.16,4.69,30050.17,3715112.52,Jenniferstad
66928.23,5.71,6.73,3.58,35342.56,4064200.85,Port Adamtown
57785.03,5.9,8.52,5.76,28404.86,3805462.23,New Michelleville
56994.2,6.84,7.35,4.32,20648.17,3681506.63,Jenniferstad
41218.31,4.84,5.79,4.32,31401.1,3100075.41,Rebeccaville
75627.59,5.14,4.59,4.08,22662.89,3683410.75,Lake Kathleen
65035.06,6.42,7.23,6.11,37339.35,4357115.78,New Michelleville
58686.89,6.79,6.78,3.81,32003.75,3888600.42,Lake Kathleen
86869.88,5.56,7.3,2.25,17791.46,4084137.65,Lake Kathleen
63587.46,6.76,8.19,2.0,19787.02,4149902.37,South Anthony
77749.05,7.4,5.97,4.94,42300.4,4631949.06,North Jasonville
71035.04,8.11,8.08,2.0,33614.81,4424236.3,South Anthony
75176.04,5.92,7.46,4.07,27061.79,4140781.66,Rebeccaville
46708.84,7.03,7.99,4.67,29198.52,3723613.66,Jenniferstad
66807.05,6.64,6.33,5.27,22105.08,3849238.0,East Lucas
63831.33,6.57,7.68,3.96,28883.85,4203138.15,Port Adamtown
75892.36,5.67,6.06,3.09,33907.04,3871944.25,Lake Christinaport
98262.85,4.64,7.74,3.87,43714.73,4769137.81,South Anthony
84821.61,6.28,7.78,4.17,33945.94,4352749.29,Lake Christinaport
82332.98,5.52,8.25,2.81,39751.79,4569511.03,North Jasonville
52828.55,5.19,6.01,2.64,7424.42,3034535.74,South Anthony
70866.09,5.67,7.14,2.91,41077.48,4254943.41,Lake Christinaport
66019.89,7.54,7.79,2.71,35540.89,4280203.5,South Anthony
53439.94,6.8,6.9,3.76,36837.19,3734501.43,South Anthony
72010.93,5.47,7.14,5.77,30823.56,4129422.73,Rebeccaville
79318.05,7.94,5.05,3.91,36174.66,4421104.18,Lake Kathleen
72097.5,5.82,6.76,2.03,31957.91,4067844.23,Jenniferstad
78393.04,5.67,7.09,6.22,29993.04,4069183.6,North Jasonville
82960.76,6.48,7.34,3.37,50125.98,4698613.62,Jenniferstad
64556.13,6.03,7.64,4.18,43366.81,4118908.27,South Anthony
89421.91,6.76,7.89,5.06,28922.89,4614728.32,South Anthony
59436.05,4.45,8.32,5.39,11925.3,3301611.05,Port Adamtown
66214.91,4.5,6.24,6.15,28907.07,3787694.76,South Anthony
68037.33,7.06,8.57,3.17,46378.5,4706080.46,Port Adamtown
63903.21,4.83,6.73,4.25,43695.81,3926227.43,Lake Kathleen
52586.4,4.95,8.68,4.39,43059.01,4113648.28,Lake Kathleen
79861.91,5.44,8.24,4.82,16111.48,3859763.32,Jenniferstad
88351.39,6.18,6.51,3.23,43126.83,4551109.84,South Anthony
73935.48,5.85,8.86,3.26,35165.88,4254229.23,New Deniseton
69804.09,7.0,7.1,2.91,38043.48,4301527.52,South Anthony
64656.03,5.58,6.44,4.38,45756.68,4034686.79,Rebeccaville
73478.22,2.9,7.88,3.44,19480.06,3425738.16,Lake Christinaport
74822.81,5.93,7.08,3.91,13476.78,3736686.75,Lake Christinaport
66644.45,5.36,5.95,5.47,51647.45,4141713.88,Port Adamtown
62154.32,5.46,7.99,2.49,39889.54,4041113.98,New Michelleville
41379.3,5.06,5.61,3.75,28545.1,3191130.14,New Michelleville
68242.75,4.78,4.97,4.72,37714.64,3632939.44,Jenniferstad
83579.41,6.82,6.9,3.98,44721.56,4678070.01,East Lucas
69232.77,7.52,6.76,4.72,36337.82,4345293.16,New Deniseton
52145.72,7.54,7.41,3.64,31151.45,4099199.15,New Michelleville
59832.44,5.0,7.07,3.49,28387.78,3549195.54,Rebeccaville
51540.64,5.49,6.32,6.0,35892.66,3599704.64,Port Adamtown
46535.41,5.57,6.19,3.48,34322.0,3503324.02,Jenniferstad
84672.37,6.64,6.76,4.92,32093.03,4570030.05,Lake Kathleen
70444.6,7.08,7.02,3.12,28276.14,4052266.96,New Michelleville
73521.75,6.58,6.43,4.83,35659.85,4000683.6,Rebeccaville
45068.95,7.97,7.65,4.12,32902.08,3998490.4,Rebeccaville
74382.11,5.98,8.05,4.46,43241.97,4416155.13,New Michelleville
76024.74,6.41,7.24,4.21,35999.06,4228495.19,North Jasonville
81935.62,5.6,7.45,5.56,56793.03,4596320.09,Lake Kathleen
57410.76,4.97,6.58,5.35,36010.9,3755805.63,South Anthony
54927.97,5.5,5.14,5.51,45895.53,3670882.57,Port Adamtown
82189.13,5.46,6.67,3.62,15225.63,3940818.06,South Anthony
75458.18,7.47,7.66,5.4,67447.9,5003721.35,Rebeccaville
65411.08,4.44,6.02,4.12,44420.69,3870463.54,Jenniferstad
76636.94,6.01,6.41,4.49,44256.92,4247765.33,Rebeccaville
87319.3,4.8,7.31,4.13,43354.84,4414551.34,South Anthony
71855.19,6.4,6.95,2.0,42541.84,4306372.74,South Anthony
74230.43,6.32,7.99,4.53,38091.13,4357792.55,East Lucas
78601.86,5.14,6.46,2.02,47436.49,4248604.15,North Jasonville
76535.48,6.95,6.81,4.73,46399.93,4531641.88,South Anthony
67077.53,6.05,5.2,6.02,18982.74,3649024.5,Port Adamtown
69494.48,5.75,7.22,3.46,23641.46,3940748.73,Port Adamtown
48507.25,5.31,5.92,5.05,40963.02,3458483.19,Port Adamtown
54578.19,6.21,7.9,4.01,39434.74,3906045.17,Rebeccaville
96304.42,5.26,7.28,2.0,28045.95,4470977.73,New Deniseton
62055.03,6.56,6.16,5.05,26886.18,3943518.58,New Deniseton
50306.64,5.98,6.63,3.76,44822.43,3790470.69,Rebeccaville
82970.44,5.28,5.33,3.96,24238.69,3811507.18,Port Adamtown
87754.84,6.51,6.32,6.04,57555.95,4820728.05,South Anthony
54591.92,6.0,8.14,3.85,43358.64,3965388.45,East Lucas
68940.97,8.2,7.34,4.52,42534.81,4503788.25,New Deniseton
66236.24,5.27,6.02,6.64,41180.85,4024546.36,New Michelleville
65295.62,5.97,6.16,2.0,38393.06,3857140.78,South Anthony
59609.1,6.45,7.72,5.08,34617.98,3821955.26,Rebeccaville
59725.31,5.43,4.63,3.03,47535.03,3499893.88,South Anthony
63319.07,6.87,7.25,6.0,50930.28,4083958.46,New Michelleville
74474.13,5.76,7.9,3.47,37589.85,4378159.04,Rebeccaville
66552.72,7.15,7.75,4.76,39913.11,4401296.32,New Deniseton
71051.26,5.55,6.53,5.59,47107.08,4142742.38,North Jasonville
70239.22,6.34,8.6,3.69,27031.49,4214968.79,Jenniferstad
66497.4,7.48,8.03,4.68,32061.55,4309016.44,Jenniferstad
61633.36,5.28,8.45,5.03,32155.41,3949846.11,New Michelleville
59442.53,7.33,8.22,4.47,32431.75,4411246.31,Lake Kathleen
64602.66,5.54,6.89,5.36,62123.76,4401670.29,Port Adamtown
68412.76,5.38,5.24,4.23,38888.67,4024591.0,South Anthony
53310.13,5.55,6.84,2.56,25610.6,3321574.23,South Anthony
60206.74,4.7,5.47,2.34,41266.94,3718595.19,Lake Christinaport
79039.32,7.67,6.08,2.18,48398.09,4660882.5,New Michelleville
59877.23,5.75,7.57,2.08,25987.22,3951808.17,Port Adamtown
69886.21,4.99,6.15,5.0,40637.56,3939405.85,Rebeccaville
53378.03,5.53,7.53,5.47,33716.41,3646615.38,Lake Kathleen
82015.89,6.46,6.85,4.72,63475.32,4906485.86,Jenniferstad
82989.21,6.42,7.04,4.02,43351.58,4619621.65,Lake Kathleen
71323.8,4.51,6.74,4.03,35042.89,3706340.8,North Jasonville
69926.7,7.75,8.03,6.01,30487.09,4240622.44,Rebeccaville
73549.63,6.53,7.76,3.74,36144.34,4315786.88,Port Adamtown
67135.65,5.17,7.22,2.46,43296.64,3985908.35,East Lucas
61009.42,5.9,6.44,3.91,47294.92,4230432.26,South Anthony
77786.87,5.8,8.33,4.58,31451.29,4403121.39,East Lucas
60838.12,5.29,6.6,4.78,25744.13,3564687.62,South Anthony
73031.36,5.19,6.35,3.21,26402.09,3749175.0,New Deniseton
82152.23,7.73,7.03,4.11,40050.97,4833553.07,South Anthony
55851.09,5.06,7.22,3.15,31465.76,3635221.22,South Anthony
